Drug,Best Conf,Cosine Similarity
Ketoconazole,Conf 2,0.9902412677281209
Entrectinib,Conf 25,0.9882114408703484
Travoprost,Conf 25,0.9863198903582534
Dequalinium,Conf 7,0.9842619796857539
Miltefosine,Conf 28,0.9835748496401757
Latanoprostene bunod,Conf 67,0.9835039324495555
Hesperidin,Conf 9,0.9833832843205728
Zafirlukast,Conf 28,0.9830780383253183
Orlistat,Conf 3,0.9830653128333247
Tenofovir alafenamide,Conf 5,0.9827547276108726
Olaparib,Conf 1,0.9824286290237848
Pantethine,Conf 58,0.9823658559131504
Icosapent ethyl,Conf 210,0.9822747861180733
Lapyrium,Conf 110,0.9820418154127571
Tafluprost,Conf 47,0.9817365384565899
Ceftriaxone,Conf 22,0.9816353414415788
Thonzonium,Conf 8,0.981635070578157
Dofetilide,Conf 43,0.9815168052338773
Dabrafenib,Conf 10,0.9814238250073815
Deferoxamine,Conf 33,0.9813005285021843
Elexacaftor,Conf 9,0.9812480220835833
Encorafenib,Conf 54,0.9809887903585466
Montelukast,Conf 12,0.9808390781087672
Didecyldimethylammonium,Conf 51,0.9808369868948814
Calcium glubionate anhydrous,Conf 32,0.9807969108618287
Netilmicin,Conf 7,0.9805572830297238
Carfilzomib,Conf 31,0.9801711154977731
Curcumin,Conf 62,0.9801331283027787
Vemurafenib,Conf 13,0.9801198315166475
Macimorelin,Conf 109,0.9800490922242917
Candesartan cilexetil,Conf 1,0.9798581276396486
Eltrombopag,Conf 1,0.979855305742899
Manganese gluconate,Conf 18,0.9797731011114408
Florbetapir (18F),Conf 26,0.9796711039147536
Cetylpyridinium,Conf 132,0.9796256872582665
Treprostinil,Conf 14,0.9796215588755105
Mycophenolate mofetil,Conf 46,0.9795964294666019
Nintedanib,Conf 3,0.97957875176066
Ritonavir,Conf 3,0.9795580394123865
Terconazole,Conf 3,0.9795174016517102
Pimavanserin,Conf 9,0.9795156480755416
Vilanterol,Conf 27,0.9794909712377392
Sacubitril,Conf 12,0.9794029689340044
Regorafenib,Conf 109,0.9793729878754884
Glyburide,Conf 18,0.9792462688772019
Latanoprost,Conf 162,0.9792364179515329
Bilastine,Conf 4,0.9792163138229382
Bazedoxifene,Conf 19,0.979203070402364
Ibutilide,Conf 43,0.9790543452524502
Iobenguane sulfate I-123,Conf 2,0.9789810916233527
Calcium glucoheptonate,Conf 320,0.9789682183324899
Bimatoprost,Conf 19,0.9789636041390392
Adefovir dipivoxil,Conf 17,0.9787325640501958
Cabozantinib,Conf 1,0.9787236432611134
Fosamprenavir,Conf 160,0.978593847841949
Betiatide,Conf 17,0.9785904136645559
Cromoglicic acid,Conf 48,0.9785651329733529
Carboprost tromethamine,Conf 16,0.9785490980574655
alpha-Linolenic acid,Conf 227,0.9785246805394449
Trazodone,Conf 32,0.9785209360705637
Flavin adenine dinucleotide,Conf 14,0.9784839738780398
Dexamethasone metasulfobenzoate,Conf 3,0.978471702575007
Zofenopril,Conf 11,0.9784401857794297
Alfuzosin,Conf 72,0.9784296271106823
Calcifediol,Conf 1,0.9783710092988173
Cetalkonium,Conf 186,0.9783641588232718
Lomitapide,Conf 113,0.978356341481978
Distearyldimonium,Conf 21,0.9783529093390196
Sorafenib,Conf 3,0.9783480502517644
Hexafluronium,Conf 38,0.9783204083101043
Bosutinib,Conf 8,0.9783004856164009
Drotaverine,Conf 14,0.9782842749184302
Gamolenic acid,Conf 121,0.9782317261155244
Fulvestrant,Conf 145,0.9782236680074098
Raloxifene,Conf 6,0.9781595344000463
DL-dimyristoylphosphatidylcholine,Conf 6,0.9781233001780416
Dasatinib,Conf 9,0.9780901805801829
Mirabegron,Conf 17,0.9780637363923694
Cetrimonium,Conf 42,0.9777293557526493
Sulfasalazine,Conf 4,0.9776026470655037
Antrafenine,Conf 122,0.9775408976119824
Domiphen,Conf 21,0.9774835534139772
Tenofovir disoproxil,Conf 18,0.9772913793027269
NADH,Conf 5,0.9772681929779433
Docusate,Conf 4,0.977217963575947
Siponimod,Conf 29,0.9771077455312275
Fostamatinib,Conf 21,0.97708835875399
Glimepiride,Conf 12,0.9770768700425331
Pegvaliase,Conf 98,0.9770762846781966
Florbetaben (18F),Conf 41,0.9770379274233834
Rivaroxaban,Conf 26,0.9769828036926902
Misoprostol,Conf 4,0.9769443099626378
Bisphenol A diglycidyl ether,Conf 44,0.976923385136425
Celiprolol,Conf 24,0.9768951607698966
Cinnarizine,Conf 3,0.9767823563856832
Iloperidone,Conf 11,0.9767198399481389
Cobicistat,Conf 31,0.9767187292888019
Xamoterol,Conf 167,0.9766380216051613
