Drug,Best Conf,Cosine Similarity
Cefotaxime,Conf 7,0.9923812750265644
Latanoprostene bunod,Conf 67,0.9922479419263271
Cefditoren,Conf 11,0.9920898873197814
Sacubitril,Conf 17,0.9920520387276662
Cefmenoxime,Conf 12,0.9917830646201469
Dronedarone,Conf 15,0.9915682442246003
Ritonavir,Conf 3,0.9912360154859536
Polidocanol,Conf 19,0.9911404560287087
Siponimod,Conf 1,0.9910175558900661
Terconazole,Conf 6,0.9908872043664819
Pimavanserin,Conf 17,0.9908791042609092
Elexacaftor,Conf 2,0.9908780896649867
Ketoconazole,Conf 2,0.9907318227656082
Lenvatinib,Conf 10,0.9904327437094812
Ertapenem,Conf 5,0.9904235878379393
Thonzonium,Conf 8,0.9904210103774482
Deferoxamine,Conf 193,0.990420481069637
Pantethine,Conf 36,0.9904191237256872
Arformoterol,Conf 56,0.9903552374316007
Tenofovir disoproxil,Conf 53,0.9902934688055401
Nintedanib,Conf 3,0.99025792892146
Entrectinib,Conf 18,0.9902560446007608
Lapyrium,Conf 7,0.9902404990169054
Orlistat,Conf 3,0.9901437149771698
Benperidol,Conf 14,0.9901027333333191
Bazedoxifene,Conf 19,0.9900682850066953
Pexidartinib,Conf 27,0.9899907933619071
Dofetilide,Conf 47,0.9898595690394901
Darunavir,Conf 23,0.9898330250120829
Montelukast,Conf 26,0.9898016491320999
Calcium glucoheptonate,Conf 157,0.9897918705944395
Calcium glubionate anhydrous,Conf 29,0.9897587980116719
Bilastine,Conf 4,0.9896732445143968
Eltrombopag,Conf 16,0.9896701139567257
Glyburide,Conf 18,0.9896470408876051
Netilmicin,Conf 7,0.9896323921853494
Adefovir dipivoxil,Conf 44,0.9895811342531656
Pivmecillinam,Conf 4,0.9894965849566443
Doxazosin,Conf 1,0.9894799718388742
Enzalutamide,Conf 3,0.989476479392159
Dexamethasone metasulfobenzoate,Conf 3,0.9894758248872069
Raltitrexed,Conf 27,0.9894637947456651
Salmeterol,Conf 170,0.9894385217195066
Vemurafenib,Conf 13,0.9893959215552742
Cetrimonium,Conf 42,0.9893717661864162
Mycophenolate mofetil,Conf 6,0.9893542546541911
Treprostinil,Conf 14,0.9893177319841149
Darolutamide,Conf 58,0.9893131624070058
Vernakalant,Conf 49,0.9892868496867294
Silodosin,Conf 1,0.9892431247941066
Lorpiprazole,Conf 1,0.9891705505178092
Hesperidin,Conf 9,0.9891684991418227
Cobicistat,Conf 31,0.9891637754285967
Permethrin,Conf 72,0.9891102357321971
Palbociclib,Conf 3,0.9890851700672266
Dabrafenib,Conf 10,0.9890681399815663
Hexafluronium,Conf 20,0.9890594481235478
Dequalinium,Conf 6,0.9890421793415759
Labetalol,Conf 159,0.9890125106780041
Macimorelin,Conf 89,0.9889038215733131
Ceftriaxone,Conf 25,0.9888773746306584
Glycerol phenylbutyrate,Conf 10,0.9888735995867224
Pentosan polysulfate,Conf 1,0.9888552241636174
Nizatidine,Conf 67,0.9888096355326665
Glipizide,Conf 4,0.9887893611405608
Miltefosine,Conf 28,0.9887871013880292
Indacaterol,Conf 59,0.9887231872373643
Stearic acid,Conf 160,0.9887045225722907
Trimethobenzamide,Conf 6,0.9886499657835094
Trimetrexate,Conf 4,0.9886296571599675
Osimertinib,Conf 16,0.9886286246798788
Esomeprazole,Conf 11,0.9886138144976092
Macitentan,Conf 30,0.9885982197199024
Canagliflozin,Conf 14,0.9885821427300966
Curcumin,Conf 62,0.9885378913297328
Docusate,Conf 63,0.9884974494744571
Balsalazide,Conf 2,0.9884958433207154
Dabigatran etexilate,Conf 17,0.9884893332088861
Sonidegib,Conf 2,0.9884836833906142
Etofamide,Conf 2,0.9884788156511999
Tirofiban,Conf 160,0.9884728483972433
Manganese gluconate,Conf 18,0.9884465105221408
Rolapitant,Conf 9,0.9884156759601691
Citicoline,Conf 19,0.9883666998389935
Celiprolol,Conf 3,0.9883665191754806
Aprepitant,Conf 45,0.9883621985258438
Apalutamide,Conf 15,0.988346473786186
Istradefylline,Conf 21,0.9883285635236785
Idebenone,Conf 75,0.9883095280457476
Tenofovir alafenamide,Conf 10,0.9882906766119546
Pimozide,Conf 149,0.9882104540601958
Carboprost tromethamine,Conf 16,0.9881856299244154
Fostamatinib,Conf 52,0.9881816551278828
Glutathione disulfide,Conf 87,0.9881359584999152
Opicapone,Conf 14,0.9881148155875531
Cilastatin,Conf 38,0.9880858143828336
Sorafenib,Conf 30,0.9880624294562659
Amodiaquine,Conf 24,0.9880566053588307
Bezafibrate,Conf 31,0.9879793760470766
Cetylpyridinium,Conf 132,0.9879638773223487
Phosphatidyl serine,Conf 128,0.9879613290068782
Carfilzomib,Conf 20,0.9879504918441505
Gamolenic acid,Conf 121,0.9879466614224448
Amprenavir,Conf 126,0.987932099864133
Tedizolid phosphate,Conf 2,0.9879316447360796
Doravirine,Conf 14,0.9878891621310971
Levomefolic acid,Conf 17,0.9878872879449787
Pentamidine,Conf 41,0.9878752841513516
Ademetionine,Conf 70,0.9878245746654528
Ticagrelor,Conf 21,0.9878130345781264
Hexobendine,Conf 9,0.9877862858434843
Rivaroxaban,Conf 1,0.9877687556875921
Imidurea,Conf 74,0.9877351990429759
Aliskiren,Conf 12,0.9876933518409533
Ibutilide,Conf 47,0.9876883569954947
Tafluprost,Conf 6,0.9876303516062862
Oftasceine,Conf 64,0.9876164768698693
Cabozantinib,Conf 2,0.9876138946846087
Diethylamino hydroxybenzoyl hexyl benzoate,Conf 20,0.9876035246629123
Phylloquinone,Conf 9,0.9875925197314127
NADH,Conf 9,0.9875855972286128
Latanoprost,Conf 30,0.9875819212189451
Crizotinib,Conf 55,0.987548211026757
Cromoglicic acid,Conf 144,0.987536920053151
Verapamil,Conf 39,0.9875239849207351
Paroxetine,Conf 44,0.9875125916131979
Betaxolol,Conf 54,0.9875040237543676
Imatinib,Conf 1,0.9874956925690755
Etoposide,Conf 76,0.9874809767165486
Erdafitinib,Conf 15,0.9874539835851652
Glimepiride,Conf 36,0.9874479329747705
Epoprostenol,Conf 20,0.9874316060839123
Pegvaliase,Conf 59,0.9874258484758364
Encorafenib,Conf 21,0.987411052857016
Trazodone,Conf 32,0.9873797990079582
Flibanserin,Conf 12,0.9873717732642229
Decamethonium,Conf 29,0.9873417035783539
Cefuroxime,Conf 7,0.9873365298342162
Lopinavir,Conf 3,0.9873260525965317
Eluxadoline,Conf 20,0.9873144898281955
Tobramycin,Conf 114,0.9872996064095132
Lomitapide,Conf 31,0.9872860895040879
Aripiprazole,Conf 61,0.9872692610126182
Copper gluconate,Conf 73,0.9872624739465424
Regorafenib,Conf 3,0.9872264660678547
Rosiglitazone,Conf 23,0.9872224186912743
Telotristat ethyl,Conf 6,0.9871801571366204
Sunitinib,Conf 42,0.9871616998056226
Topotecan,Conf 3,0.9871167885951274
Bisphenol A diglycidyl ether,Conf 12,0.9871151084767524
Cetalkonium,Conf 87,0.9871146607742991
Pemetrexed,Conf 22,0.9871132465011739
Repaglinide,Conf 47,0.9871042330311145
Methyl undecenoyl leucinate,Conf 121,0.9870969784942127
Riociguat,Conf 23,0.9870857847244422
Alpelisib,Conf 20,0.987074742190722
Methotrexate,Conf 8,0.9870164321415336
Cangrelor,Conf 24,0.9869980899490166
Safinamide,Conf 38,0.986992945257902
Florbetaben (18F),Conf 20,0.9869860132823542
Domiphen,Conf 21,0.9869780316610155
Risperidone,Conf 18,0.9869280852973656
DL-dimyristoylphosphatidylglycerol,Conf 7,0.9869213541647885
Rosuvastatin,Conf 7,0.9869211867107959
Icosapent ethyl,Conf 202,0.986892350672461
Betiatide,Conf 64,0.9868545567488072
Vilazodone,Conf 72,0.9868291753991146
Dobutamine,Conf 48,0.9868268244892948
Pioglitazone,Conf 8,0.9868227193949951
Alfuzosin,Conf 52,0.9867983519337241
Olaparib,Conf 1,0.9867464036627663
DL-dimyristoylphosphatidylcholine,Conf 3,0.9867178629815738
Doconexent,Conf 166,0.9867147610153889
Iloperidone,Conf 30,0.9867140891015042
Raloxifene,Conf 6,0.9866960292866954
Ethanolamine oleate,Conf 175,0.9866892082829338
Lercanidipine,Conf 56,0.9866874984679398
Ceforanide,Conf 73,0.9866852639702974
Acitretin,Conf 8,0.9866844200384592
Eliglustat,Conf 44,0.9866843829939955
Dapiprazole,Conf 52,0.9866521374264612
Empagliflozin,Conf 13,0.9865822196081728
Lasmiditan,Conf 18,0.9865819887234232
Bromperidol,Conf 83,0.986569674271826
Rutin,Conf 8,0.9865692899353709
Adapalene,Conf 10,0.9865598064703854
Dyclonine,Conf 55,0.9865544290584074
Florbetapir (18F),Conf 18,0.9865435799762622
Fursultiamine,Conf 27,0.9865373402269291
Ethylhexyl methoxycrylene,Conf 3,0.9865122842535117
Ceritinib,Conf 50,0.9865085277886912
Lapatinib,Conf 2,0.9864992152746312
Quinapril,Conf 15,0.9864888820743706
Lumateperone,Conf 1,0.9864772704518558
Gallamine triethiodide,Conf 1,0.9864454966601098
Tolvaptan,Conf 76,0.9864310329039182
Zofenopril,Conf 10,0.9862884355772655
Donepezil,Conf 19,0.9862875577683385
Ioversol,Conf 30,0.9862794086405059
Bimatoprost,Conf 19,0.9862578166795244
Pramocaine,Conf 7,0.9862324751101575
Ranitidine,Conf 26,0.9862247733869351
Sodium lauryl sulfoacetate,Conf 93,0.9862158498074811
alpha-Linolenic acid,Conf 227,0.9861902534322222
Rilpivirine,Conf 7,0.986189544983391
Spirapril,Conf 12,0.9861811988679686
Amiodarone,Conf 2,0.9861803229837134
Calcium ascorbate,Conf 171,0.9861692245613377
Xamoterol,Conf 74,0.9861585807583279
Pretomanid,Conf 8,0.9861465065402296
Ataluren,Conf 28,0.9861239436924076
Ranolazine,Conf 77,0.9861155539129572
Mezlocillin,Conf 15,0.9861141175790115
Mitoxantrone,Conf 61,0.9861060163457382
Drotaverine,Conf 4,0.9860870869430802
Febuxostat,Conf 22,0.986053847767176
Carvedilol,Conf 32,0.9860484186646492
Linezolid,Conf 2,0.9860473610981666
Zafirlukast,Conf 28,0.9860259923075201
Docosanol,Conf 109,0.9860184424607994
Sitagliptin,Conf 5,0.9859691949375695
Antrafenine,Conf 122,0.9859632215634094
Paliperidone,Conf 5,0.9859510926090816
Chloramphenicol succinate,Conf 72,0.9859157020866114
Ivabradine,Conf 36,0.9858707648453305
Cocarboxylase,Conf 61,0.9858588777343565
Bosutinib,Conf 15,0.9858174772536005
Mirabegron,Conf 17,0.9858169113239468
Padimate O,Conf 7,0.9858099466898681
Timolol,Conf 29,0.9858097458581468
Lidoflazine,Conf 1,0.985803499722028
Valganciclovir,Conf 49,0.9857815462085004
Piperacillin,Conf 17,0.985777941146707
Distearyldimonium,Conf 5,0.9857414316170806
Pazopanib,Conf 33,0.985723616799045
Tamsulosin,Conf 159,0.9857178927875787
Selexipag,Conf 24,0.9856598002574308
Irbesartan,Conf 16,0.9856260570965912
Sertaconazole,Conf 66,0.98559796586852
Isopropyl myristate,Conf 30,0.9855739649135872
Sulfasalazine,Conf 6,0.9855595474111999
Amisulpride,Conf 11,0.985540277296143
Leucovorin,Conf 15,0.9855192063433542
Vismodegib,Conf 11,0.9855034743636614
Haloperidol,Conf 22,0.9854364508951801
Olmesartan,Conf 6,0.9854275620050711
Ebastine,Conf 101,0.9853990392606039
Oxiconazole,Conf 50,0.9853829888553481
Netarsudil,Conf 130,0.9853740231994201
Pinaverium,Conf 7,0.9853627512217603
Esmolol,Conf 7,0.9853619364983316
Axitinib,Conf 12,0.9853574384415716
Enasidenib,Conf 98,0.9853418980697577
Benazepril,Conf 27,0.985341551050941
Vilanterol,Conf 71,0.9853204782806411
Hydrocortisone succinate,Conf 76,0.9853135254618631
Gefitinib,Conf 27,0.9853121916125152
Bicalutamide,Conf 1,0.9852512232095726
Nebivolol,Conf 18,0.9852506989488863
Fosaprepitant,Conf 201,0.9852249751123427
Almotriptan,Conf 23,0.9851707524796801
Iobenguane sulfate I-123,Conf 10,0.9851472754212359
Eribulin,Conf 77,0.9851379268380351
Linoleic acid,Conf 174,0.9851373484971855
Tritoqualine,Conf 1,0.9851214813393228
Prazosin,Conf 1,0.9851153393255923
Fluvoxamine,Conf 35,0.9851048866810391
Benzododecinium,Conf 130,0.9850117851207951
Ribociclib,Conf 15,0.9849920697582404
Moexipril,Conf 9,0.984990825122364
Procaine merethoxylline,Conf 36,0.9849832994065464
Cholesterol,Conf 2,0.9849786250195265
Dexlansoprazole,Conf 9,0.984957554555011
Dopexamine,Conf 73,0.9849369837513571
Naloxegol,Conf 101,0.9849366293511579
Ambenonium,Conf 147,0.9849357009609336
Ivacaftor,Conf 2,0.9849238192518648
Sodium lauryl sulfate,Conf 138,0.9848882761300316
Olodaterol,Conf 31,0.9848787027190883
Acebutolol,Conf 10,0.9848767540493241
Palmitic Acid,Conf 159,0.9847270701320521
Dioctyldimonium,Conf 239,0.9847189205696283
Buspirone,Conf 8,0.9846850932310937
Formoterol,Conf 98,0.9846780129365298
Cholecalciferol,Conf 3,0.984665387552189
Pantoprazole,Conf 10,0.9846180535630238
Tezacaftor,Conf 1,0.9845961919636416
Rabeprazole,Conf 11,0.9845518818755378
Cetyl alcohol,Conf 277,0.9845453507760108
Pitavastatin,Conf 3,0.9845133978416349
Cefprozil,Conf 4,0.9845089621127043
Travoprost,Conf 25,0.984446701323706
Gliquidone,Conf 263,0.9844434784242405
Terazosin,Conf 6,0.9844414758900668
Pheneticillin,Conf 7,0.9844355202220307
Ezetimibe,Conf 25,0.9844175521347974
Nelfinavir,Conf 141,0.9844171998690214
Valaciclovir,Conf 90,0.9844122104223418
Nilotinib,Conf 29,0.9844092971702875
Indapamide,Conf 29,0.984395329178748
Dextrothyroxine,Conf 106,0.9843907441704975
Arbutamine,Conf 128,0.9843775925910557
Glutathione,Conf 74,0.9843546643745961
Mebeverine,Conf 141,0.9843132944463598
Dasabuvir,Conf 8,0.9842981948545421
Upadacitinib,Conf 22,0.9842649736826721
Levobunolol,Conf 35,0.9842644546969194
Butoconazole,Conf 94,0.9842603515995425
Cilostazol,Conf 18,0.9842535554913179
Ezogabine,Conf 10,0.9842152878396091
Testosterone undecanoate,Conf 22,0.9842081935266845
Zuclopenthixol,Conf 126,0.9841867504889398
Cinnarizine,Conf 118,0.9841776708227893
Lubiprostone,Conf 51,0.984166229378397
Tretinoin,Conf 18,0.9841393677822943
Tetrofosmin,Conf 21,0.9841329886885151
Fluvastatin,Conf 13,0.9841319452871357
Didecyldimethylammonium,Conf 93,0.9841235681015414
Darifenacin,Conf 16,0.9841045507245175
Trabectedin,Conf 18,0.9840688587316069
Trandolapril,Conf 94,0.9840625545100861
Fulvestrant,Conf 145,0.9840620910947587
Aripiprazole lauroxil,Conf 17,0.9840410298273105
Acalabrutinib,Conf 1,0.9840242800604821
Disperse Blue 106,Conf 34,0.9839764280520704
Levoleucovorin,Conf 82,0.983952776429797
Dipentamethylenethiuram disulfide,Conf 70,0.9839497910067804
Baricitinib,Conf 16,0.9839414504045876
Lansoprazole,Conf 63,0.9839379786786613
Dasatinib,Conf 9,0.9839102653081896
Fluspirilene,Conf 215,0.9839053736595406
Dolutegravir,Conf 14,0.9838967112995443
Tyropanoic acid,Conf 10,0.9838965726101794
Bepotastine,Conf 19,0.9838955453167005
Brexpiprazole,Conf 21,0.9838691040257431
Iophendylate,Conf 14,0.9838690819914839
Bictegravir,Conf 10,0.9838688819785065
Capsaicin,Conf 162,0.9838651013089798
Propafenone,Conf 130,0.983841640146679
Berberine,Conf 16,0.9837980591213876
Nicergoline,Conf 21,0.9837971616407531
Iomeprol,Conf 46,0.9837967951335831
Sultopride,Conf 76,0.9837842529164309
Sultamicillin,Conf 8,0.9837750322883713
Benzethonium,Conf 87,0.9837650469674186
Acetyldigitoxin,Conf 10,0.9837565507941869
Delamanid,Conf 154,0.983741753453553
Icosapent,Conf 161,0.9837255791813763
Vandetanib,Conf 35,0.9836984428955129
Pitolisant,Conf 79,0.9836234366414929
Levobetaxolol,Conf 48,0.9836230023287988
Fusidic acid,Conf 95,0.9836175119455453
Tolazamide,Conf 45,0.9836069883669158
Butenafine,Conf 37,0.9836029162660732
Naftifine,Conf 43,0.9835592769457797
Octinoxate,Conf 41,0.9835459854346723
5-O-phosphono-alpha-D-ribofuranosyl diphosphate,Conf 60,0.9835320446897625
Lifitegrast,Conf 1,0.9834963587776907
Oxprenolol,Conf 27,0.9834689939642843
Fosinopril,Conf 8,0.9833848586265814
Revefenacin,Conf 7,0.9833824001903102
Benzthiazide,Conf 19,0.9833815079018918
Arzoxifene,Conf 70,0.9833473578526905
Panobinostat,Conf 15,0.9833374539056111
Avanafil,Conf 102,0.9833276564471917
Linagliptin,Conf 3,0.9832867437562456
Ritodrine,Conf 80,0.9832789629035009
Enalaprilat,Conf 34,0.9832390657236552
Cabazitaxel,Conf 42,0.9832192929264842
