Drug,Best Conf,Cosine Similarity
Saquinavir,Conf 43,0.9490897352502098
Deferoxamine,Conf 33,0.9479164115762425
Carfilzomib,Conf 31,0.9403354084565211
Distearyldimonium,Conf 21,0.936374449973135
Fosamprenavir,Conf 160,0.9343136324354028
Dofetilide,Conf 43,0.9342032290181972
Ambenonium,Conf 208,0.9341409928586311
DL-dimyristoylphosphatidylcholine,Conf 6,0.9336640344688314
Montelukast,Conf 1,0.9319699995222062
Terconazole,Conf 3,0.9302328869117626
Entrectinib,Conf 25,0.9302204585347995
Calcium glubionate anhydrous,Conf 22,0.929647126482773
"Sodium 1,2-Dipalmitoyl-sn-glycero-3-phospho-(1'-rac-glycerol)",Conf 6,0.9292045789173228
Cetylpyridinium,Conf 132,0.9277383156001848
Travoprost,Conf 25,0.9273157556038566
Mirabegron,Conf 108,0.9256966736553882
Cefmetazole,Conf 19,0.9252220727526639
Procaine merethoxylline,Conf 22,0.9251730451573831
Glyburide,Conf 18,0.9248910427314311
Tafluprost,Conf 47,0.9248536795497374
Dinoprost,Conf 60,0.9235419429674949
Doconexent,Conf 219,0.9233837283522607
Micronomicin,Conf 61,0.9233218475835315
Manidipine,Conf 41,0.9230251289019469
Cangrelor,Conf 4,0.9228990668391279
Ritonavir,Conf 16,0.9225901917895102
Ceftolozane,Conf 16,0.9223269672594987
Latanoprostene bunod,Conf 67,0.921851871429827
Cefonicid,Conf 8,0.9218401436553015
Siponimod,Conf 29,0.9216821489497052
Fosinopril,Conf 37,0.9216180138220216
1-Palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),Conf 23,0.9208690429546034
Bosutinib,Conf 74,0.9208317613316517
Balsalazide,Conf 26,0.9207158990370854
Lercanidipine,Conf 3,0.9206538380015602
Glycerol phenylbutyrate,Conf 54,0.9205159447443524
Pantethine,Conf 120,0.9200936317650652
Ranolazine,Conf 55,0.919998482257631
Regadenoson,Conf 1,0.919417815240427
Dronedarone,Conf 11,0.9192758118260582
Ceftriaxone,Conf 22,0.9183993334477815
Irinotecan,Conf 30,0.9180323799044287
Hexafluronium,Conf 38,0.9179488059074637
Darifenacin,Conf 82,0.9178630870163271
Pivampicillin,Conf 10,0.9169756529401665
Tenofovir disoproxil,Conf 14,0.9168910869917273
Polidocanol,Conf 27,0.9167788306917033
Didecyldimethylammonium,Conf 37,0.9166548866274773
Nilotinib,Conf 1,0.9166548488745014
Miltefosine,Conf 28,0.9165375439142108
Telotristat ethyl,Conf 38,0.9163337946863805
Hesperidin,Conf 9,0.9161514734622475
Olaparib,Conf 1,0.915351693639085
Tritoqualine,Conf 2,0.9148873655840876
