Drug,Best Conf,Cosine Similarity
Calcium glubionate anhydrous,Conf 70,0.9193553244365802
Imidurea,Conf 56,0.9102186783217501
Niacinamide ascorbate,Conf 5,0.9064485775333616
Magnesium gluconate,Conf 38,0.9032339954847066
Pantethine,Conf 23,0.8945986437022289
Macimorelin,Conf 44,0.8853905480673412
Carboprost tromethamine,Conf 115,0.8852390964701407
Calcium ascorbate,Conf 28,0.8851911209782247
Tenofovir disoproxil,Conf 4,0.8835065007021371
Levoleucovorin,Conf 9,0.8810566047026407
Pemetrexed,Conf 9,0.8784929060281007
Ferrous gluconate,Conf 143,0.8778545656404303
Fenoterol,Conf 39,0.8736907718488444
Cefotiam,Conf 18,0.8729953995217496
Tilarginine,Conf 50,0.8711341141908816
Calcium glucoheptonate,Conf 194,0.8706867590165438
Zanamivir,Conf 43,0.8686572517572703
Framycetin,Conf 165,0.8682802787739301
Paromomycin,Conf 37,0.8681094687696574
Cystine,Conf 112,0.8680227224113045
Peramivir,Conf 126,0.8679362362264684
Mitoxantrone,Conf 81,0.8668860491780344
Tobramycin,Conf 152,0.8656143399608546
Pegvaliase,Conf 13,0.8650681600399437
Docetaxel,Conf 33,0.8650332719671797
Encorafenib,Conf 28,0.8649602081475005
Famotidine,Conf 22,0.86374055822301
Cilastatin,Conf 240,0.8629291257487088
Fludeoxyglucose (18F),Conf 61,0.8625006396913871
Pivampicillin,Conf 26,0.8624609188521022
Calcium threonate,Conf 31,0.8620346450650919
Arbutamine,Conf 248,0.8611950131645718
Iron sucrose,Conf 74,0.8608635703335781
Misoprostol,Conf 75,0.8601987556590027
Cefepime,Conf 59,0.8592757643413608
Sulfasalazine,Conf 142,0.859007672644367
Etidronic acid,Conf 12,0.8587630259014066
Copper gluconate,Conf 30,0.8586390658660685
Viomycin,Conf 54,0.8583511972537653
Sucrose,Conf 79,0.8573390794086172
Hesperidin,Conf 132,0.8554964269249332
Mannitol busulfan,Conf 97,0.8553549738089362
Iomeprol,Conf 55,0.8551948872798942
Pentostatin,Conf 29,0.8541779722255569
Betiatide,Conf 72,0.8538698800115174
Eliglustat,Conf 33,0.8537495385235043
Benserazide,Conf 160,0.8528107698459942
Acarbose,Conf 155,0.8506046615828338
Glutathione disulfide,Conf 125,0.8497628493347079
Iobenguane sulfate I-123,Conf 4,0.8494112292469815
Dipyridamole,Conf 129,0.849377053760805
Pentosan polysulfate,Conf 52,0.8489504278449331
Torasemide,Conf 42,0.8483959492072796
Iopamidol,Conf 71,0.8478552981646771
Apremilast,Conf 148,0.8477906955136992
Mannitol,Conf 52,0.8477641114846511
Ceftolozane,Conf 160,0.8474837067056432
Flavin mononucleotide,Conf 80,0.8473941178764821
Duvelisib,Conf 59,0.8466199033121371
Sarecycline,Conf 23,0.8466119633111537
Diaminopropanol tetraacetic acid,Conf 127,0.8465113831945428
Ganciclovir,Conf 167,0.8464265122807392
Latanoprostene bunod,Conf 73,0.8454143794025087
Aztreonam,Conf 38,0.8452406118749439
Potassium gluconate,Conf 83,0.8448889822593948
Pamidronic acid,Conf 3,0.8443989514082219
Argatroban,Conf 31,0.8435316802082384
Fludarabine,Conf 187,0.8428030987714674
Alginic acid,Conf 47,0.8419359671526362
Diazolidinylurea,Conf 17,0.841881422840025
Miglustat,Conf 40,0.8418738119355323
Diosmin,Conf 4,0.8418670682545834
Ferrous ascorbate,Conf 9,0.8416883153690234
Midodrine,Conf 12,0.8410419955446953
Methotrexate,Conf 45,0.8408331303982888
Ioversol,Conf 83,0.8402288691772587
Plazomicin,Conf 131,0.8397457589321119
Chloramphenicol succinate,Conf 61,0.8397229053294326
Manganese gluconate,Conf 27,0.8394380723563833
Doxorubicin,Conf 108,0.8386116830824516
Iohexol,Conf 9,0.8385134353855348
Kappadione,Conf 26,0.8381529924161477
Pantoprazole,Conf 2,0.8378313254305285
Biguanide,Conf 61,0.837420741677448
Salmeterol,Conf 12,0.8372100939130571
Lactose,Conf 38,0.8358822755306786
Alendronic acid,Conf 9,0.8337052401348074
Fructose,Conf 25,0.8335583331259144
Streptozocin,Conf 16,0.8335413115785486
Zinc ascorbate,Conf 37,0.8335356129201269
Ioxilan,Conf 37,0.8331610275956504
Iopromide,Conf 8,0.8323475332124609
Celiprolol,Conf 68,0.8319911086270994
Dibekacin,Conf 114,0.8312484024932398
Pivmecillinam,Conf 15,0.8312235799307537
Darunavir,Conf 10,0.8312010357695484
Calcium Phosphate,Conf 32,0.8306042787479241
Isoprenaline,Conf 31,0.8298729188047429
Cefuroxime,Conf 26,0.829861382357822
Orciprenaline,Conf 107,0.8287123607005455
Cefotaxime,Conf 221,0.828688658943849
Calcium Citrate,Conf 10,0.8286444896545022
Acetophenazine,Conf 146,0.8283931869222895
Cefoperazone,Conf 19,0.8281107620240941
Alprostadil,Conf 95,0.8270429716168065
Dexpanthenol,Conf 15,0.8268220777138169
Regadenoson,Conf 27,0.8265447936767503
Fosamprenavir,Conf 55,0.8262111863517194
Rutin,Conf 18,0.8260744380323497
5-O-phosphono-alpha-D-ribofuranosyl diphosphate,Conf 20,0.8252748718821287
Dabigatran etexilate,Conf 14,0.8251676544286984
Polydatin,Conf 41,0.8247333668376027
Micronomicin,Conf 19,0.8244199191280426
Cefditoren,Conf 28,0.8237655697419576
Dalfopristin,Conf 73,0.823213365315002
Dantrolene,Conf 25,0.8221873432526235
Dinoprostone,Conf 154,0.8218461689964864
Decitabine,Conf 94,0.8212354477004914
Quinidine barbiturate,Conf 183,0.8211006050147055
Gaxilose,Conf 207,0.8210784646630439
Methylprednisolone hemisuccinate,Conf 68,0.82094802414827
Dinoprost,Conf 10,0.8197755536285845
Netilmicin,Conf 12,0.8196189328317569
Tamsulosin,Conf 51,0.8195763396313188
Apraclonidine,Conf 28,0.8195417942869553
Primaquine,Conf 118,0.8195131005895111
Penciclovir,Conf 29,0.8178690607810738
Leucovorin,Conf 71,0.817707049664651
Unoprostone,Conf 211,0.8175888561535178
Valaciclovir,Conf 171,0.8174867006546234
Sunitinib,Conf 4,0.8164485442040169
Tegafur-uracil,Conf 30,0.8156285504898061
Balsalazide,Conf 26,0.8155853467444316
Indinavir,Conf 69,0.8155648025282748
Potassium sulfate,Conf 1,0.813886077984144
Deferoxamine,Conf 41,0.813210973323723
Oxtriphylline,Conf 6,0.8128976691098447
Sapropterin,Conf 36,0.81259835164928
Sulfapyridine,Conf 120,0.8123499810729353
Trolamine,Conf 34,0.8121784149648285
Diethylamino hydroxybenzoyl hexyl benzoate,Conf 10,0.8120057694304458
Sodium citrate,Conf 24,0.8117949810910537
Glyburide,Conf 199,0.8116568947598054
Ibandronate,Conf 53,0.8111925595389402
Valine,Conf 15,0.8111511071687003
Cabazitaxel,Conf 28,0.8111263516495237
Fluvoxamine,Conf 8,0.810749949469324
Pirbuterol,Conf 34,0.80993987358118
Azlocillin,Conf 48,0.8098545644317213
Cyclopenthiazide,Conf 14,0.8098016568638854
Potassium perchlorate,Conf 45,0.8097623297710986
Sulpiride,Conf 42,0.8096559003539607
Calcipotriol,Conf 11,0.8094240499017344
Niraparib,Conf 1,0.8093316063797868
Bicisate,Conf 63,0.8092639946917685
Deserpidine,Conf 39,0.8091869942808075
Valganciclovir,Conf 32,0.808976067451798
Etoposide,Conf 147,0.8085020333460763
Articaine,Conf 11,0.8084604301207543
Tetraferric tricitrate decahydrate,Conf 1,0.8084103311428863
Benzthiazide,Conf 28,0.8082677881861922
Ornithine,Conf 36,0.8081748270749944
Didanosine,Conf 87,0.8081176607403309
Gilteritinib,Conf 73,0.8080452233709856
Iobitridol,Conf 28,0.8072873159658666
Edetate calcium disodium anhydrous,Conf 129,0.807249145934126
Cefiderocol,Conf 8,0.807177057848034
Ezogabine,Conf 24,0.8071766334471748
L-Lysine,Conf 20,0.8070388221293103
Vidarabine,Conf 59,0.8070345476042163
Sodium carbonate,Conf 25,0.8067203711200103
Fulvestrant,Conf 4,0.806638276124036
Allantoin,Conf 109,0.8063227061059167
Esculin,Conf 118,0.8062576241166829
Ribostamycin,Conf 79,0.8060974633246859
Xamoterol,Conf 12,0.8056907268354957
Modafinil,Conf 114,0.8055809306936602
Mycophenolate mofetil,Conf 123,0.805347359612766
Mirabegron,Conf 123,0.8052478562467464
Phenazopyridine,Conf 9,0.8050191578866635
Nicergoline,Conf 42,0.8048486623815858
Methoxamine,Conf 43,0.8043268260846484
Hydroxyethyl cellulose,Conf 37,0.8039799299218493
Glycol salicylate,Conf 17,0.8039411948962822
Olsalazine,Conf 130,0.8037111194384887
Flurandrenolide,Conf 100,0.803540468338287
Vilanterol,Conf 289,0.8032921294874701
Nickel sulfate,Conf 23,0.8030484350794165
Cidofovir,Conf 85,0.8029815791435563
Dihydralazine,Conf 36,0.8029500508531462
Entecavir,Conf 94,0.802868881554801
Imatinib,Conf 3,0.8026383095348698
Arbutin,Conf 103,0.802323059943006
Quinidine,Conf 283,0.8020290726534218
Droxidopa,Conf 59,0.8016201858068943
Sodium lauryl sulfate,Conf 130,0.8014674782729706
Trolamine salicylate,Conf 132,0.8014449769403598
Bupropion,Conf 35,0.8012979152875384
