Drug,Best Conf,Cosine Similarity
Calcium glubionate anhydrous,Conf 70,0.9143227087630544
Carboprost tromethamine,Conf 115,0.9075812039082138
Niacinamide ascorbate,Conf 5,0.9057098738980276
Pantethine,Conf 23,0.9010875187226624
Lopinavir,Conf 3,0.896576533972263
Imidurea,Conf 56,0.8957157262974175
Eliglustat,Conf 33,0.8956748764226293
Calcium ascorbate,Conf 28,0.8916819511234929
Ferrous gluconate,Conf 143,0.8874675506856671
Pegvaliase,Conf 13,0.8861421995199
Macimorelin,Conf 44,0.8855427714411458
Paromomycin,Conf 37,0.8821601948387991
Tenofovir disoproxil,Conf 4,0.8818747220459624
Magnesium gluconate,Conf 38,0.8804473346017961
Levoleucovorin,Conf 9,0.8797958499947782
Pantoprazole,Conf 2,0.8797807003468809
Tilarginine,Conf 50,0.8779930517476436
Lenalidomide,Conf 109,0.8774800801417264
Latanoprost,Conf 102,0.8767970374020316
Cefotiam,Conf 18,0.8766835646709481
Encorafenib,Conf 28,0.8766431932108346
Peramivir,Conf 126,0.8761625669819854
Famotidine,Conf 22,0.8758648817334131
Salmeterol,Conf 254,0.875158966484516
Zanamivir,Conf 43,0.8749646865859403
Calcium glucoheptonate,Conf 65,0.874230924208486
Niraparib,Conf 1,0.872883256746087
Mitoxantrone,Conf 81,0.8721405601889437
Nylidrin,Conf 43,0.871953488422862
Calcium threonate,Conf 31,0.8714465112016597
Copper gluconate,Conf 99,0.8711977794508677
Acarbose,Conf 155,0.8699751975769323
Fenoterol,Conf 116,0.8699518485626777
Fludeoxyglucose (18F),Conf 61,0.8692542400254124
Glyburide,Conf 199,0.8690088889739418
Glutathione disulfide,Conf 94,0.8684362314031455
Tobramycin,Conf 152,0.8683584227042855
Apremilast,Conf 143,0.867105736728517
Fulvestrant,Conf 4,0.8670149139473758
Sulfasalazine,Conf 142,0.8668910730601211
Cystine,Conf 112,0.8658088150849927
Fosamprenavir,Conf 55,0.8653649006110473
Arbutamine,Conf 248,0.8651382318573646
Diosmin,Conf 4,0.8649044985086444
Framycetin,Conf 165,0.8638929234335783
Benserazide,Conf 160,0.8627862731218602
Diaminopropanol tetraacetic acid,Conf 127,0.8623894506609908
Misoprostol,Conf 75,0.8621910073821961
Viomycin,Conf 54,0.8621348102085433
Iohexol,Conf 9,0.860942709545571
Iomeprol,Conf 55,0.8605088102705623
Alprostadil,Conf 247,0.8603447319753235
Mannitol busulfan,Conf 97,0.8598438005547426
Pemetrexed,Conf 9,0.8597720392514676
Mannitol,Conf 52,0.859485017556124
Cyclopenthiazide,Conf 14,0.8587441206692569
Hesperidin,Conf 132,0.8586628027748441
Rutin,Conf 18,0.8581565453210408
Pentostatin,Conf 29,0.8574762010307387
Alginic acid,Conf 47,0.8570963165585701
Dantrolene,Conf 25,0.8568787343223069
Tamsulosin,Conf 51,0.8568700184619362
Ezogabine,Conf 10,0.8561389454440571
Celiprolol,Conf 68,0.8560706085685327
Chloramphenicol succinate,Conf 17,0.8558355525560095
Cefoperazone,Conf 19,0.8557119350520636
Sunitinib,Conf 4,0.8555167687253743
Ferrous ascorbate,Conf 9,0.8552445632240057
Deferasirox,Conf 7,0.8550003825609918
Cefepime,Conf 59,0.8546646173438402
Latanoprostene bunod,Conf 291,0.8546604315223109
Iopamidol,Conf 50,0.8539687214533679
Ceftolozane,Conf 160,0.8538299294760383
Pamidronic acid,Conf 3,0.8536271183415751
Ganciclovir,Conf 167,0.8529196991041645
Primaquine,Conf 118,0.8527789209060703
Terizidone,Conf 57,0.8526235058794789
Manganese gluconate,Conf 27,0.852529277836856
Dibekacin,Conf 114,0.8523121777838991
Sucrose,Conf 79,0.8521035138642721
Dipyridamole,Conf 129,0.8520178423819716
Tolazamide,Conf 13,0.8519086616385558
Sumatriptan,Conf 55,0.8514275142048142
Midodrine,Conf 30,0.8507528894282681
Unoprostone,Conf 211,0.8502399939218901
Amsacrine,Conf 12,0.8499413921356762
Aztreonam,Conf 38,0.8497043035787579
Calcipotriol,Conf 11,0.8492119796430714
Diethylamino hydroxybenzoyl hexyl benzoate,Conf 2,0.8490768931042562
Ioversol,Conf 83,0.8489375794049349
Iobenguane sulfate I-123,Conf 4,0.8489109543646772
Idelalisib,Conf 82,0.848877488941386
Quinidine barbiturate,Conf 183,0.8488695562840928
Plazomicin,Conf 71,0.8487599239408856
Sofosbuvir,Conf 13,0.8486115854105314
Pivmecillinam,Conf 15,0.848446957915104
Sarecycline,Conf 23,0.8484362076514192
Methotrexate,Conf 45,0.8481393716957261
Iopromide,Conf 8,0.8481185895554368
Pravastatin,Conf 32,0.8480685862919167
Belinostat,Conf 82,0.8480032805480936
Benorilate,Conf 5,0.8476649513884299
Potassium gluconate,Conf 83,0.8469875272352636
Bumetanide,Conf 1,0.8469525024066542
Dinoprost,Conf 3,0.8466910945252524
Bromfenac,Conf 50,0.8466514308426683
Minaprine,Conf 1,0.8465151867788028
Vemurafenib,Conf 63,0.8455882935695148
Doxorubicin,Conf 108,0.8455457571014694
Miglustat,Conf 40,0.8454885501604453
Acetyldigitoxin,Conf 10,0.8452584753652524
Kappadione,Conf 26,0.844319981142165
Lactose,Conf 38,0.8442819473938384
Arformoterol,Conf 15,0.8441695785697604
Ioxilan,Conf 37,0.8440149936271633
Sulfoxone,Conf 12,0.843949915257371
Nicergoline,Conf 42,0.8439289778953368
Modafinil,Conf 114,0.8435835261394594
Diazolidinylurea,Conf 21,0.8435435527599027
Atenolol,Conf 54,0.842889173881351
Fludarabine,Conf 187,0.8423305936552745
Digitoxin,Conf 15,0.8420188037105825
Sodium tetradecyl sulfate,Conf 40,0.8413930588268768
Padimate O,Conf 24,0.8413009287771742
Flavin mononucleotide,Conf 80,0.8411300706805859
Indinavir,Conf 69,0.8405494056714129
Imatinib,Conf 3,0.8402386489464458
Duvelisib,Conf 59,0.8399959822614894
Acetophenazine,Conf 146,0.8398883442806702
Ritodrine,Conf 19,0.839526697755662
Azithromycin,Conf 84,0.8394916630022489
Amprenavir,Conf 224,0.8391163178107296
Dexpanthenol,Conf 15,0.8390133541256499
Telotristat ethyl,Conf 7,0.8388404161472286
Amcinonide,Conf 4,0.8388255652769804
Cefditoren,Conf 28,0.8387945149311994
Tirofiban,Conf 16,0.8385401764234414
Streptozocin,Conf 16,0.8383268948951432
Argatroban,Conf 31,0.8382939002285916
Iron sucrose,Conf 74,0.8382572483027707
Fedratinib,Conf 92,0.8380535942713059
Docetaxel,Conf 51,0.8375375083096573
5-O-phosphono-alpha-D-ribofuranosyl diphosphate,Conf 20,0.8374375359239585
Betiatide,Conf 72,0.8374170784472773
Pivampicillin,Conf 26,0.8373544423578182
Calcium Phosphate,Conf 32,0.8373405820761775
Esculin,Conf 34,0.8365775625766693
Etoposide,Conf 147,0.8364703878702947
Pipotiazine,Conf 179,0.8361686462475615
Cefuroxime,Conf 26,0.8361544858965095
