Drug,Best Conf,Cosine Similarity
Cangrelor,Conf 229,0.9819424550414776
Alprostadil,Conf 391,0.9805624794941334
Cabozantinib,Conf 135,0.9802267929980568
Dasabuvir,Conf 92,0.9784431051448331
Framycetin,Conf 269,0.977553971077019
Biperiden,Conf 149,0.9771773264467731
Tecovirimat,Conf 114,0.9761106980577459
Thiothixene,Conf 202,0.9756899302790549
Piroxicam,Conf 126,0.9748271055301059
Brexpiprazole,Conf 337,0.9746787828710222
Leucovorin,Conf 246,0.9740482506640085
Moxifloxacin,Conf 120,0.9734724429048338
NADH,Conf 317,0.9730669951009098
Doxazosin,Conf 133,0.9727299053150502
Gentian violet cation,Conf 138,0.9705502088320637
Niraparib,Conf 107,0.9696935195470604
Lodoxamide,Conf 172,0.9692626336765149
Phylloquinone,Conf 430,0.9692464413173989
Linagliptin,Conf 217,0.9689921606278693
Leflunomide,Conf 168,0.9686199026270372
Naloxegol,Conf 214,0.9683408768862097
1-Palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),Conf 16,0.968162690680993
Tegafur-uracil,Conf 160,0.9679784441323771
Dutasteride,Conf 100,0.9679669839536936
Lovastatin,Conf 243,0.967546848751544
Flunarizine,Conf 187,0.9660807250742052
Buclizine,Conf 154,0.965638961836884
Levoleucovorin,Conf 267,0.9653257068713766
Tetryzoline,Conf 214,0.9647179029529936
Calcifediol,Conf 162,0.9624280643416274
Verapamil,Conf 377,0.9621480968065494
Sulisobenzone,Conf 189,0.9617486919433401
Penbutolol,Conf 303,0.9613665753406555
Travoprost,Conf 428,0.9610930840134099
Magnesium citrate,Conf 101,0.9600904899345567
Clozapine,Conf 167,0.9600814272141297
Magnesium oxide,Conf 116,0.9598969874755144
Cefonicid,Conf 280,0.95986196408352
Eszopiclone,Conf 222,0.9598113405053637
Ziprasidone,Conf 275,0.9594904806070136
Letermovir,Conf 139,0.9594470178476093
Ergometrine,Conf 168,0.9589832356960429
Dextrothyroxine,Conf 288,0.9589515011229992
Vilazodone,Conf 297,0.9587310123938143
Tezacaftor,Conf 151,0.9584958103723297
Sacubitril,Conf 265,0.9579251916994428
Sulconazole,Conf 333,0.9570776224462317
Apremilast,Conf 242,0.9566556950516149
Iophendylate,Conf 426,0.9565450693742188
Risperidone,Conf 235,0.9562415437512418
Pirenzepine,Conf 182,0.9561736887134424
Hexobendine,Conf 334,0.9551703156671532
Hydroxyzine,Conf 203,0.9551487825037659
Dasatinib,Conf 208,0.9551411205269529
Lumacaftor,Conf 227,0.954635897345477
Nevirapine,Conf 152,0.9543704855041468
Flavin adenine dinucleotide,Conf 91,0.9538404006013764
Tedizolid,Conf 122,0.9535645172597992
Iopromide,Conf 192,0.9529274000363408
Rose bengal,Conf 118,0.9528628846954111
Dihydroergocristine,Conf 199,0.9528529999545363
Zanubrutinib,Conf 155,0.9526965781319596
Idarubicin,Conf 104,0.9526362690373794
Meticrane,Conf 143,0.95261026096218
Mitoxantrone,Conf 237,0.9522089930003507
Indigotindisulfonic acid,Conf 89,0.95192326788861
Proguanil,Conf 165,0.9518217214001155
Lidoflazine,Conf 271,0.9515365278379517
Pyridostigmine,Conf 266,0.9501141570860202
Antrafenine,Conf 292,0.9496195669103515
Apalutamide,Conf 149,0.9496076370392653
Boscalid,Conf 207,0.9492057965532363
Avatrombopag,Conf 16,0.948997577809606
Rosuvastatin,Conf 239,0.9488443785174739
Iobenguane sulfate I-123,Conf 221,0.9487334983657593
Ioxitalamic acid,Conf 177,0.9482388973075946
Dioctyldimonium,Conf 414,0.9479444645540736
Bupivacaine,Conf 249,0.9478109217634771
Medronic acid,Conf 165,0.9474107064423041
Acetyldigitoxin,Conf 12,0.9473614646543685
Dosulepin,Conf 182,0.9469801898332377
Dabrafenib,Conf 255,0.9467066950865597
Mirtazapine,Conf 154,0.9460618518205645
Quinestrol,Conf 116,0.9460131744574942
Vernakalant,Conf 370,0.9459340467014428
Phloxine B,Conf 193,0.9452724569946982
Mesoridazine,Conf 229,0.945256878614503
Prazosin,Conf 137,0.9442500817432278
Cinacalcet,Conf 432,0.9441603763504215
Idoxuridine,Conf 259,0.9440232114324837
Ceftolozane,Conf 133,0.9439775216201823
Resveratrol,Conf 185,0.9437200496272958
Manganese gluconate,Conf 336,0.9436967902623917
Nalbuphine,Conf 154,0.9433086762822256
Alectinib,Conf 41,0.9425866384054743
Pentostatin,Conf 247,0.942549744656566
Glymidine,Conf 269,0.9422369172696283
Delavirdine,Conf 156,0.9417000021437126
Trimipramine,Conf 178,0.9416013473141287
