Drug,Best Conf,Cosine Similarity
Macimorelin,Conf 65,0.9121874774923345
Carfilzomib,Conf 31,0.902125840866115
Eliglustat,Conf 198,0.892339172892298
Telmisartan,Conf 7,0.8762578508789989
Pentagastrin,Conf 45,0.8738628754448508
Linagliptin,Conf 1,0.8676589888248193
Bifonazole,Conf 5,0.8664979287685469
Alverine,Conf 99,0.864482981212323
Deferasirox,Conf 52,0.8633532085679092
"2,2'-Dibenzothiazyl disulfide",Conf 11,0.8621326386470881
Ibrutinib,Conf 10,0.858948303652899
Benzethonium,Conf 90,0.8570345058474237
Dipentamethylenethiuram disulfide,Conf 16,0.8541604922631063
Vilanterol,Conf 155,0.8541369173314107
Lopinavir,Conf 55,0.852929148274025
Pivampicillin,Conf 43,0.8528607141479109
Zafirlukast,Conf 10,0.8519044891450277
Ritonavir,Conf 7,0.8504440625770129
Cholecalciferol,Conf 2,0.8491125118412867
Cefiderocol,Conf 50,0.8488390066027834
Fursultiamine,Conf 7,0.8467909403610289
Lidoflazine,Conf 37,0.8465937782275379
Latanoprost,Conf 255,0.8462329148819344
Natamycin,Conf 24,0.8440912814541329
Adefovir dipivoxil,Conf 115,0.8432258037429119
Moxifloxacin,Conf 31,0.8430874764363796
Elagolix,Conf 302,0.8429464132094316
Indinavir,Conf 16,0.8420708944385844
Apixaban,Conf 77,0.8403434423676003
Pipotiazine,Conf 28,0.8391547066266503
Fulvestrant,Conf 43,0.8388812507236717
Montelukast,Conf 142,0.8378279087929535
Delamanid,Conf 26,0.8365253525401903
Dequalinium,Conf 90,0.8363245553918778
Lurasidone,Conf 8,0.8352657841580942
Docusate,Conf 151,0.8351252398922868
Trandolapril,Conf 2,0.8349015559269394
Ketoconazole,Conf 42,0.8346020916006974
Haloperidol,Conf 25,0.8331122094153545
Tipranavir,Conf 50,0.8325777967609169
Saquinavir,Conf 6,0.8318617212244999
Pivmecillinam,Conf 35,0.831814553706936
Eltrombopag,Conf 81,0.831717008967723
Sodium tetradecyl sulfate,Conf 139,0.8316725082632157
Piroxicam,Conf 6,0.831363683078176
Prazosin,Conf 95,0.8312002811785798
Candesartan cilexetil,Conf 226,0.8310000649432246
DL-alpha-Tocopherol,Conf 276,0.8309047768770356
Ataluren,Conf 42,0.8294773415665716
Atorvastatin,Conf 146,0.8285574011377015
Rolitetracycline,Conf 2,0.8280643072204974
Neratinib,Conf 101,0.8275044948377537
Diethylamino hydroxybenzoyl hexyl benzoate,Conf 133,0.8274265186453152
Flavoxate,Conf 3,0.8265009476530499
Dyclonine,Conf 16,0.8258695930512603
Glecaprevir,Conf 1,0.8256869218012137
Deferoxamine,Conf 191,0.8255293307004794
Loperamide,Conf 101,0.8252539368823185
Trametinib,Conf 169,0.8247076144095852
Acenocoumarol,Conf 110,0.8244658298545369
Gallamine triethiodide,Conf 91,0.8239585622548451
Trimethaphan,Conf 4,0.8239276581067357
Ritodrine,Conf 188,0.8234667692794476
Efinaconazole,Conf 15,0.8230986265378823
Aripiprazole,Conf 104,0.8227524919455063
Benzododecinium,Conf 25,0.8226875277593535
Benzoyl peroxide,Conf 100,0.8215027002783979
Salmeterol,Conf 162,0.8207978882771229
Sunitinib,Conf 44,0.8206621298851274
Dopexamine,Conf 257,0.8206074979372211
Lymecycline,Conf 21,0.8196277267501019
Dapiprazole,Conf 31,0.8193735849019813
Abemaciclib,Conf 21,0.8192069486753495
Azilsartan medoxomil,Conf 268,0.8191989181553997
Vanillyl butyl ether,Conf 168,0.8187393288134046
Celiprolol,Conf 162,0.8187289031966203
Sultamicillin,Conf 19,0.8184901407150015
Iobenguane sulfate I-123,Conf 6,0.8184411322807258
Orlistat,Conf 32,0.8167516164708478
Quinagolide,Conf 61,0.8165779131438534
Propoxycaine,Conf 37,0.8159832900006198
Buclizine,Conf 162,0.8156752157532269
Bimatoprost,Conf 76,0.8155791121512969
Bilastine,Conf 103,0.815299820835533
Methantheline,Conf 75,0.814395421282755
Ambrisentan,Conf 9,0.8143388374396191
Flunarizine,Conf 165,0.8141355052138433
Glycerol phenylbutyrate,Conf 199,0.8138265328211667
Distearyldimonium,Conf 214,0.8138181835704658
Propafenone,Conf 52,0.8136385927846305
Testosterone cypionate,Conf 21,0.8136196688943287
Propyliodone,Conf 48,0.8134970727216495
Sufentanil,Conf 15,0.8133780504363716
Quinapril,Conf 26,0.8131344687074257
Naldemedine,Conf 65,0.8131227432378569
Conivaptan,Conf 6,0.8129083988780783
Darunavir,Conf 10,0.812814740843518
Amodiaquine,Conf 324,0.8126348287091874
Levobetaxolol,Conf 162,0.8115746457102226
Pantethine,Conf 45,0.8114910118928128
Eletriptan,Conf 19,0.8111686370431856
Bacampicillin,Conf 192,0.8110919483269988
Paliperidone,Conf 37,0.8109538224843267
Cefprozil,Conf 15,0.8108832695941228
Oxolamine,Conf 100,0.8106884334854167
Cetalkonium,Conf 157,0.8104623383548853
Pitolisant,Conf 153,0.8104548131594893
Zanubrutinib,Conf 108,0.8103124677291537
Lornoxicam,Conf 4,0.8101126059465285
Irinotecan,Conf 23,0.8100202752250707
Phylloquinone,Conf 222,0.8098955464698504
Phloxine B,Conf 201,0.8092377328743173
Procaine merethoxylline,Conf 55,0.8086233691423826
Tolvaptan,Conf 87,0.8085832459090985
Dabrafenib,Conf 32,0.8084457652688314
Tecovirimat,Conf 117,0.8083783485199209
Bedaquiline,Conf 67,0.8083752338034844
Icosapent ethyl,Conf 319,0.8076690714274545
Omacetaxine mepesuccinate,Conf 229,0.8076241736525991
Benperidol,Conf 42,0.8067908024180206
Enasidenib,Conf 6,0.8066948709201797
