Drug,Best Conf,Cosine Similarity
Cabozantinib,Conf 135,0.9806206995025617
1-Palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),Conf 16,0.979983393313699
NADH,Conf 317,0.9779719326684473
Cangrelor,Conf 208,0.9764131095746736
Tecovirimat,Conf 114,0.9759583714676245
Framycetin,Conf 269,0.9718035365619628
Thiothixene,Conf 202,0.9697667216619899
Prazosin,Conf 137,0.9660900275663014
Quinestrol,Conf 116,0.9658096751519993
Phylloquinone,Conf 430,0.9648543887474931
Hexobendine,Conf 334,0.9643485139419882
Piroxicam,Conf 126,0.96424185190125
Leucovorin,Conf 246,0.9632981080502967
Buclizine,Conf 154,0.9632111881313281
Dasabuvir,Conf 91,0.9629386680484808
Alectinib,Conf 41,0.9623194977194268
Cefonicid,Conf 280,0.961608581309868
Resveratrol,Conf 185,0.9613111636252009
Gentian violet cation,Conf 138,0.9609008275651387
Almitrine,Conf 229,0.9608925675123962
Relebactam,Conf 223,0.9605054664823894
Zanubrutinib,Conf 155,0.9601993805002931
Alprostadil,Conf 391,0.9581607760791387
Eszopiclone,Conf 222,0.9579692796813066
Lovastatin,Conf 239,0.9578222055159504
Tezacaftor,Conf 151,0.957618305212607
Trifluridine,Conf 264,0.9569287794308944
Iopamidol,Conf 261,0.9561639888789948
Moxifloxacin,Conf 120,0.9551957082136461
Levoleucovorin,Conf 248,0.9539683406353154
Netilmicin,Conf 247,0.9531143049184142
Verapamil,Conf 377,0.9525954818548977
Biperiden,Conf 149,0.952209640686554
Pirenzepine,Conf 182,0.9521191670969295
Medronic acid,Conf 165,0.9516020135419955
Brexpiprazole,Conf 337,0.9513858438204317
Sorafenib,Conf 372,0.9508278953657234
Flavin adenine dinucleotide,Conf 91,0.9499791990051186
Miltefosine,Conf 350,0.9499247216950529
Apremilast,Conf 242,0.9492174783863204
Abemaciclib,Conf 197,0.9488274023107836
Naloxegol,Conf 214,0.9486853646179687
Ethylhexyl methoxycrylene,Conf 207,0.9483028424657489
Rutin,Conf 182,0.9480780446109703
Risperidone,Conf 235,0.9476881440648167
Lodoxamide,Conf 166,0.9476756806257136
Taurocholic acid,Conf 133,0.9476336939297724
Quinidine,Conf 273,0.9475115284111444
Lidoflazine,Conf 271,0.9472809667449924
Tigecycline,Conf 51,0.9468607486120044
Flavone,Conf 168,0.9456271859952808
Sacubitril,Conf 265,0.945615736653316
Doxazosin,Conf 133,0.945250215088714
Ziprasidone,Conf 275,0.945219910113168
Idarubicin,Conf 104,0.9451836996625371
Raltegravir,Conf 111,0.9447944864055207
Dihydrotachysterol,Conf 87,0.9433895625449399
Travoprost,Conf 428,0.9428145272429749
Flunarizine,Conf 172,0.9424671090124802
Dasatinib,Conf 208,0.9423600257715229
Febuxostat,Conf 192,0.9408818060570552
Bictegravir,Conf 207,0.9406826040143486
Linagliptin,Conf 217,0.9404241437717236
Tegafur-uracil,Conf 160,0.9399678717489478
Magnesium citrate,Conf 101,0.9388108311258287
Alcaftadine,Conf 131,0.938111369161917
Fulvestrant,Conf 281,0.9377373512819075
Ioxitalamic acid,Conf 177,0.9374506291722725
Boscalid,Conf 207,0.9367445006643256
Leflunomide,Conf 168,0.9364051068816135
Paromomycin,Conf 269,0.9358773426797751
Penbutolol,Conf 303,0.9346704407875921
Cinacalcet,Conf 432,0.9342673481590681
Clobetasol propionate,Conf 72,0.9342393593530917
Niraparib,Conf 107,0.9335985509484268
Dutasteride,Conf 100,0.933395207548943
Oftasceine,Conf 167,0.9333279483133852
Distearyldimonium,Conf 210,0.9330451882557295
Sodium feredetate,Conf 180,0.9322838061648329
Bupivacaine,Conf 249,0.9319994350719115
Dextrothyroxine,Conf 288,0.9317735352366521
Ergometrine,Conf 168,0.9311739508113899
Delamanid,Conf 177,0.9310240135768572
Vilazodone,Conf 297,0.9308022602036127
Dabrafenib,Conf 255,0.9305688455411174
Baricitinib,Conf 287,0.9304873954668855
Dihydroergocornine,Conf 88,0.9302048477982308
Rupatadine,Conf 126,0.9294414355721488
Nintedanib,Conf 129,0.9291466700903988
Promethazine,Conf 185,0.9291121973020083
Tedizolid phosphate,Conf 120,0.9289589886217863
Kappadione,Conf 128,0.9289280652595598
Almotriptan,Conf 279,0.9284163402531038
Glymidine,Conf 269,0.9283948902852882
Calcifediol,Conf 162,0.9282431817159515
Dihydroergocristine,Conf 199,0.9281869820412063
Loperamide,Conf 180,0.9279526137847606
Manganese gluconate,Conf 336,0.9278239684697089
Finafloxacin,Conf 124,0.9273367730630739
Afatinib,Conf 155,0.9272429652143418
Cabergoline,Conf 191,0.9271632902723316
Magnesium oxide,Conf 116,0.9267346305133886
Sulisobenzone,Conf 188,0.926349197854529
Tetryzoline,Conf 214,0.9260073983661323
Rosuvastatin,Conf 239,0.9254573432522432
Thonzonium,Conf 283,0.92442027601633
Antrafenine,Conf 292,0.9239540328803979
Phosphatidyl serine,Conf 385,0.9238591358472852
Calcium glubionate anhydrous,Conf 432,0.9235782331534577
Acalabrutinib,Conf 94,0.9230375959749824
Nicardipine,Conf 313,0.9226608433994585
Deferoxamine,Conf 344,0.9225106300154016
Adenosine,Conf 241,0.9216548133678567
Doconexent,Conf 495,0.9205775460478691
Benzododecinium,Conf 408,0.9205069699196702
Iobenguane sulfate I-123,Conf 210,0.9203043784821681
Indigotindisulfonic acid,Conf 76,0.9201203846854246
Alginic acid,Conf 241,0.9200377561811799
Amitriptylinoxide,Conf 179,0.9199642011397725
Celecoxib,Conf 125,0.9198003110901715
Alloin,Conf 101,0.9192290521360083
Metixene,Conf 263,0.9187259792217067
Proguanil,Conf 165,0.9185985194532855
Paliperidone,Conf 229,0.9185933840718762
Lorlatinib,Conf 90,0.91833999847767
Meticrane,Conf 143,0.9183174074096817
Manidipine,Conf 211,0.9178565870773132
Sulfabenzamide,Conf 178,0.9176559811649966
Sulconazole,Conf 333,0.9175996012909694
Ceftolozane,Conf 133,0.9175459087210814
Bepotastine,Conf 214,0.917416242418001
Iophendylate,Conf 426,0.9167633694444147
Clozapine,Conf 167,0.9166924729663812
Econazole,Conf 297,0.9164255568531178
Nevirapine,Conf 152,0.9161190528470128
Alfuzosin,Conf 300,0.9157687009254638
